Date,Price
1980/10/31,671.894
1980/11/28,743.4741
1980/12/31,721.0408
1981/01/30,690.8735
1981/02/27,702.8724
1981/03/31,730.9831
1981/04/30,716.8471
1981/05/29,718.6823
1981/06/30,714.1834
1981/07/31,715.653
1981/08/31,674.3275
1981/09/30,641.1027
1981/10/30,675.7017
1981/11/30,703.5857
1981/12/31,685.5436
1982/01/29,676.5932
1982/02/26,638.7737
1982/03/31,635.4417
1982/04/30,664.1603
1982/05/31,638.1506
1982/06/30,631.9004
1982/07/30,620.6587
1982/08/31,696.0024
1982/09/30,704.6799
1982/10/29,785.7865
1982/11/30,817.5213
1982/12/31,833.2769
1983/01/31,864.264
1983/02/28,884.0713
1983/03/31,916.7329
1983/04/29,988.952
1983/05/31,980.3508
1983/06/30,1018.5048
1983/07/29,988.4543
1983/08/31,1003.2908
1983/09/30,1017.1441
1983/10/31,1005.3845
1983/11/30,1026.5925
1983/12/30,1021.2251
1984/01/31,1015.5286
1984/02/29,979.7946
1984/03/30,996.7629
1984/04/30,1006.2183
1984/05/31,950.5164
1984/06/29,971.1619
1984/07/31,959.1159
1984/08/31,1065.0478
1984/09/28,1065.3034
1984/10/31,1069.4081
1984/11/30,1057.432
1984/12/31,1085.2932
1985/01/31,1169.8506
1985/02/28,1184.1782
1985/03/29,1184.9625
1985/04/30,1183.8475
1985/05/31,1252.2464
1985/06/28,1271.8674
1985/07/31,1270.0112
1985/08/30,1259.1018
1985/09/30,1219.7194
1985/10/31,1276.0564
1985/11/29,1363.5828
1985/12/31,1429.5463
1986/01/31,1437.5303
1986/02/28,1544.9819
1986/03/31,1631.1774
1986/04/30,1612.8104
1986/05/30,1698.6142
1986/06/30,1727.3193
1986/07/31,1630.7068
1986/08/29,1751.6354
1986/09/30,1606.8258
1986/10/31,1699.4899
1986/11/28,1740.7965
1986/12/31,1696.372
1987/01/30,1924.8012
1987/02/27,2000.8578
1987/03/31,2058.5884
1987/04/30,2040.3102
1987/05/29,2057.9991
1987/06/30,2161.9277
1987/07/31,2271.4464
1987/08/31,2356.1997
1987/09/30,2304.5462
1987/10/30,1808.2342
1987/11/30,1659.2177
1987/12/31,1785.4422
1988/01/29,1860.5418
1988/02/29,1947.2708
1988/03/31,1887.114
1988/04/29,1907.9865
1988/05/31,1924.4891
1988/06/30,2012.8044
1988/07/29,2005.1721
1988/08/31,1937.0618
1988/09/30,2019.5911
1988/10/31,2075.8234
1988/11/30,2046.2398
1988/12/30,2081.937
1989/01/31,2234.1155
1989/02/28,2178.44
1989/03/31,2229.2598
1989/04/28,2345.0038
1989/05/31,2439.8787
1989/06/30,2426.0401
1989/07/31,2645.0899
1989/08/31,2696.7993
1989/09/29,2685.8567
